id,delta_point,created_at,user_id,user_question_record_id
801087,7,"2023-04-28 13:39:57",849979,782028
801108,7,"2023-04-28 13:40:04",849979,782049
801155,14,"2023-04-28 13:40:20",849548,782095
801171,13,"2023-04-28 13:40:25",849475,782110
801182,8,"2023-04-28 13:40:28",849762,782121
801193,6,"2023-04-28 13:40:32",849475,782131
801201,6,"2023-04-28 13:40:35",849762,782139
801202,9,"2023-04-28 13:40:35",849548,782140
801219,12,"2023-04-28 13:40:40",849475,782155
801229,15,"2023-04-28 13:40:43",849762,782165
801231,14,"2023-04-28 13:40:44",849548,782167
801245,12,"2023-04-28 13:40:47",849475,782181
