id,distance,nearby_school_id,school_id
119372,0.009765335,60,39
119373,0.0196810501,42,39
119374,0.0203981604,51,39
119375,0.0213604065,43,39
119376,0.021761878,37,39
119377,0.0243562103,62,39
119378,0.0317696748,57,39
119379,0.0345302862,50,39
119380,0,39,39
119381,0.0471820327,21,34
119382,0.0655095388,19,34
119383,0.0831076476,11,34
119384,0.086536422,10,34
119385,0.0963895307,33,34
119386,0.124896006,168,34
119387,0.1261853539,172,34
119388,0.1270496083,181,34
119389,0.130742704,171,34
119390,0,34,34
119391,0.0105346574,5,36
119392,0.0125880167,29,36
119393,0.0126230859,30,36
119394,0.0180719499,14,36
119395,0.0206187388,17,36
119396,0.0243449513,32,36
119397,0.0280969748,8,36
119398,0.0318766906,12,36
119399,0.0770810259,31,36
119400,0,36,36
119401,0.0072044053,39,38
119402,0.00758599,60,38
119403,0.0146214388,51,38
119404,0.0168335334,42,38
119405,0.0172846889,37,38
119406,0.0205242966,43,38
119407,0.021043459,62,38
119408,0.0366214394,57,38
119409,0.0371440351,86,38
119410,0,38,38
119411,0.0061895954,41,44
119412,0.0068492251,61,44
119413,0.0152120598,55,44
119414,0.0185504116,54,44
119415,0.0188867624,52,44
119416,0.022853411,40,44
119417,0.0231326351,85,44
119418,0.0250200478,98,44
119419,0.0306512721,95,44
119420,0,44,44
119421,0.0062692412,42,43
119422,0.0080290346,62,43
119423,0.01113207,37,43
119424,0.0129695632,60,43
119425,0.0154879146,51,43
119426,0.0167434951,86,43
119427,0.0205242966,38,43
119428,0.0213604065,39,43
119429,0.0230968155,88,43
119430,0,43,43
119431,0.0482567368,59,47
119432,0.0597101369,49,47
119433,0.063970395,71,47
119434,0.0665265739,39,47
119435,0.067209401,38,47
119436,0.0727793421,72,47
119437,0.074533791,60,47
119438,0.0793699649,51,47
119439,0.0835699744,37,47
119440,0,47,47
119441,0.0470578898,48,46
119442,0.0638976036,58,46
119443,0.0769798376,1806,46
119444,0.0797806838,74,46
119445,0.0845095134,40,46
119446,0.0877335742,1808,46
119447,0.0899344235,53,46
119448,0.0949792192,317,46
119449,0.0985898547,316,46
119450,0,46,46
119451,0.0324156991,1806,48
119452,0.0380704777,58,48
119453,0.0447442138,1808,48
119454,0.0470578898,46,48
119455,0.0792338876,53,48
119456,0.0909031331,96,48
119457,0.0983175636,40,48
119458,0.1053398564,52,48
119459,0.1078497402,54,48
119460,0,48,48
119461,0.0191893677,55,45
119462,0.0195868032,85,45
119463,0.0257310641,65,45
119464,0.0291226184,78,45
119465,0.0315524885,44,45
119466,0.0347650843,123,45
119467,0.0356640072,76,45
119468,0.0358406135,41,45
119469,0.0359275996,40,45
119470,0,45,45
119471,0.0028251722,54,52
119472,0.0124860415,61,52
119473,0.0133641822,41,52
119474,0.0188867624,44,52
119475,0.0245159205,40,52
119476,0.0264585624,98,52
119477,0.0295354145,96,52
119478,0.0340966781,55,52
119479,0.034774023,53,52
119480,0,52,52
119481,0.0117133495,96,53
119482,0.034774023,52,53
119483,0.0361732233,54,53
119484,0.0422244218,58,53
119485,0.0463640019,40,53
119486,0.0471004931,41,53
119487,0.0471821511,61,53
